Stock,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Result,Profit_%,ER_21,CumRet_21,WMA_Ratio_21
FEDERALBNK,2024-07-11,192.66000366210932,2024-07-31,201.38999938964844,Win,4.53,0.5861584259016142,0.14959131136725604,1.057736409305606
FEDERALBNK,2024-07-12,195.47999572753903,2024-08-01,200.75,Win,2.7,0.5498471792977245,0.1243528991216409,1.0646727146787593
FEDERALBNK,2024-07-15,194.75,2024-08-02,197.7100067138672,Win,1.52,0.5849156639319925,0.13055849419681465,1.0532276455047123
ITC,2024-07-19,456.951416015625,2024-08-07,474.3801879882813,Win,3.81,0.7292262706111796,0.12014627883902468,1.0549015770161596
ITC,2024-07-22,449.24810791015625,2024-08-08,476.4023132324219,Win,6.04,0.5584252646430943,0.10217340831516027,1.031668069391683
ITC,2024-07-23,473.9468688964844,2024-08-09,477.5096740722656,Win,0.75,0.7303825118840483,0.17302186372082798,1.0776140552360598
FEDERALBNK,2024-07-24,201.22999572753903,2024-08-12,201.2400054931641,Win,0.0,0.5712036250354033,0.14439262919944273,1.0507217243394964
ITC,2024-07-24,475.728271484375,2024-08-12,476.25787353515625,Win,0.11,0.7252693735329234,0.16713914022465648,1.0714022110872916
ITC,2024-07-25,471.78033447265625,2024-08-13,471.8284606933594,Win,0.01,0.6556817625565851,0.15745337613260196,1.0540626877945083
ITC,2024-07-29,477.6541137695313,2024-08-16,484.0093383789063,Win,1.33,0.5983017440391079,0.16553099198555365,1.0488097453036145
JYOTHYLAB,2024-07-29,537.4500122070312,2024-08-16,555.9500122070312,Win,3.44,0.5770294997130537,0.303383058692403,1.05955798838523
ITC,2024-07-30,471.732177734375,2024-08-19,482.8538513183594,Win,2.36,0.5275975328916905,0.1529771336728827,1.0297992005209895
JYOTHYLAB,2024-07-30,535.4000244140625,2024-08-19,555.8499755859375,Win,3.82,0.5200401559943576,0.24050050241577456,1.0477646407351775
ITC,2024-07-31,476.9800720214844,2024-08-20,480.3021240234375,Win,0.7,0.5325302934611029,0.154527434876093,1.0347882607160785
ITC,2024-08-01,475.3912658691406,2024-08-21,486.6573791503906,Win,2.37,0.5562810401895164,0.16028206757492838,1.0259061370849054
VSTIND,2024-08-23,420.8181762695313,2024-09-11,423.8999938964844,Win,0.73,0.551895786996777,0.1925341357952838,1.0827877550787288
SARDAEN,2024-08-30,351.6499938964844,2024-09-18,423.2999877929688,Win,20.38,0.5089398677520233,0.30400109907184336,1.0608937370554226
SARDAEN,2024-09-03,345.54998779296875,2024-09-20,418.2000122070313,Win,21.02,0.5517135101614924,0.33211255174841375,1.0250857951015409
SARDAEN,2024-09-04,355.25,2024-09-23,432.7000122070313,Win,21.8,0.6851259818737654,0.42756677229987516,1.0439304949163903
SHK,2024-09-04,250.5200042724609,2024-09-23,256.989990234375,Win,2.58,0.5886488270939324,0.37128469497289335,1.0676673256622649
PANACEABIO,2024-09-05,238.75,2024-09-24,302.7699890136719,Win,26.81,0.5927847850809351,0.8005278205916313,1.0949721418655163
SARDAEN,2024-09-05,358.20001220703125,2024-09-24,442.4500122070313,Win,23.52,0.7066332374403441,0.4478578053518753,1.0433575698215762
